url,risk_score,status,time
chrome://newtab/,14,Safe,2026-05-13 01:13:03
https://secure-bank-login-update.com/,100,Phishing / Risky,2026-05-13 01:13:09
chrome://extensions/,47,Phishing / Risky,2026-05-13 01:13:33
chrome://extensions/?errors=mloilabgjghfnhmdcgciiknlkoddkcgl,52,Phishing / Risky,2026-05-13 01:13:38
chrome://extensions/,47,Phishing / Risky,2026-05-13 01:13:54
chrome://newtab/,14,Safe,2026-05-13 01:14:23
https://secure-bank-login-update.com/,100,Phishing / Risky,2026-05-13 01:14:24
chrome://newtab/,14,Safe,2026-05-13 01:18:06
https://app.diagrams.net/,52,Phishing / Risky,2026-05-13 01:18:11
https://www.google.com/search?q=draw+io&oq=draw+io&gs_lcrp=EgZjaHJvbWUyEQgAEEUYORhDGLEDGIAEGIoFMgwIARAAGEMYgAQYigUyDwgCEAAYQxixAxiABBiKBTIMCAMQABgUGIcCGIAEMgcIBBAAGIAEMgYIBRAFGEAyBggGEEUYPDIGCAcQRRg90gEINDQ5OGowajSoAgCwAgE&sourceid=chrome&ie=UTF-8,52,Phishing / Risky,2026-05-13 01:18:31
https://www.drawio.com/,52,Phishing / Risky,2026-05-13 01:18:32
https://app.diagrams.net/?src=about,52,Phishing / Risky,2026-05-13 01:18:34
https://www.google.com/search?q=draw+io&oq=draw+io&gs_lcrp=EgZjaHJvbWUyEQgAEEUYORhDGLEDGIAEGIoFMgwIARAAGEMYgAQYigUyDwgCEAAYQxixAxiABBiKBTIMCAMQABgUGIcCGIAEMgcIBBAAGIAEMgYIBRAFGEAyBggGEEUYPDIGCAcQRRg90gEINDQ5OGowajSoAgCwAgE&sourceid=chrome&ie=UTF-8,52,Phishing / Risky,2026-05-13 01:18:53
https://app.diagrams.net/,52,Phishing / Risky,2026-05-13 01:18:54
chrome://newtab/,14,Safe,2026-05-13 11:47:20
https://www.google.com/,52,Phishing / Risky,2026-05-13 11:47:23
https://www.google.com/?zx=1778653044966,52,Phishing / Risky,2026-05-13 11:47:24
chrome://newtab/,14,Safe,2026-05-13 11:47:43
http://free-netflix-gift-card.com/,99,Phishing / Risky,2026-05-13 11:47:46
chrome://newtab/,14,Safe,2026-05-13 11:49:44
https://www.google.com/search?q=what+are+chrome+extebsions+meaning&oq=what+are+chrome+extebsions+meaning&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIICAEQABgWGB4yDQgCEAAYhgMYgAQYigUyDQgDEAAYhgMYgAQYigUyDQgEEAAYhgMYgAQYigUyCggFEAAYgAQYogTSAQg3MDM4ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,52,Phishing / Risky,2026-05-13 11:49:51
chrome://newtab/,14,Safe,2026-05-13 12:05:43
https://www.google.com/search?q=myntra&oq=myntr&gs_lcrp=EgZjaHJvbWUqDwgAEAAYQxixAxiABBiKBTIPCAAQABhDGLEDGIAEGIoFMg8IARAAGEMYsQMYgAQYigUyBggCEEUYOTIKCAMQABixAxiABDIKCAQQABixAxiABDIKCAUQABixAxiABDIKCAYQABixAxiABDIGCAcQBRhA0gEINDg4MGowajeoAgCwAgA&sourceid=chrome&ie=UTF-8,52,Phishing / Risky,2026-05-13 12:05:51
https://www.google.com/search?q=meaning+of+shreshtha&sca_esv=ec8f0cdf64d8a7b1&sxsrf=ANbL-n6pQekp3DcvDLRhb51szfRtrRiP0w%3A1778654151387&ei=xxsEap6fF5ed4-EPxoOzyQk&biw=1280&bih=712&ved=0ahUKEwjenvyG07WUAxWXzjgGHcbBLJkQ4dUDCBE&uact=5&oq=meaning+of+shreshtha&gs_lp=Egxnd3Mtd2l6LXNlcnAiFG1lYW5pbmcgb2Ygc2hyZXNodGhhMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHjIGEAAYFhgeSI9wUPxPWNpucAF4AZABAJgB3wGgAeoaqgEGMC4xNC41uAEDyAEA-AEBmAIUoAKWHKgCD8ICBxAjGOoCGCfCAhAQIxidBhjoBhjdBRjqAhgnwgINECMYtAQY8AUY6gIYJ8ICDRAjGMkCGPAFGOoCGCfCAg0QIxjwBRi0BBjqAhgnwgIfEC4YgAQYigUYQxjnBhjHARjRAxjIAxjqAhi0AtgBAcICChAjGIAEGIoFGCfCAhMQLhiABBiKBRhDGLEDGMcBGNEDwgIKEAAYgAQYigUYQ8ICCxAAGIAEGLEDGIMBwgINEAAYgAQYigUYQxixA8ICCBAAGIAEGLEDwgIVEAAYgAQYigUYQxixAxiDARj5ARhGwgINEC4YgAQYigUYQxixA8ICLxAAGIAEGIoFGEMYsQMYgwEY-QEYRhiXBRiMBRjdBBhGGPkBGPQDGPUDGPYD2AEBwgISEAAYgAQYigUYQxixAxj5ARhGwgILEAAYgAQYigUYsQPCAiwQABiABBiKBRhDGLEDGPkBGEYYlwUYjAUY3QQYRhj5ARj0Axj1Axj2A9gBAcICDRAAGIAEGLEDGPkBGEbCAhAQABiABBiKBRixAxiDARgKwgInEAAYgAQYsQMY-QEYRhiXBRiMBRjdBBhGGPkBGPQDGPUDGPYD2AEBwgIOEAAYgAQYigUYsQMYgwGYAwrxBXpNOa5T9B6XugYGCAEQARgIkgcGMS4xMi43oAemoAGyBwYwLjEyLje4B4wcwgcKMC4xLjEzLjUuMcgHhQGACAE&sclient=gws-wiz-serp,99,Phishing / Risky,2026-05-13 12:07:18
https://www.google.com/search?q=myntra&sca_esv=ec8f0cdf64d8a7b1&biw=1280&bih=712&sxsrf=ANbL-n5oASaVcT85upMtQLkAtYmjHxU3Ww%3A1778654237975&ei=HRwEaraaO9yS4-EPnLfwgAY&oq=myn&gs_lp=Egxnd3Mtd2l6LXNlcnAiA215bioCCAAyChAjGIAEGIoFGCcyDhAAGIAEGIoFGJECGLEDMg4QABiABBiKBRiRAhixAzIOEAAYgAQYigUYkQIYsQMyDhAAGIAEGIoFGJECGLEDMggQABiABBixAzIIEAAYgAQYsQMyChAAGIAEGBQYhwIyCBAAGIAEGLEDMggQABiABBixA0iyF1DQBliXDXABeAGQAQCYAeYBoAHsBKoBBTAuMS4yuAEByAEA-AEBmAIEoAKLBagCEMICBxAjGOoCGCfCAhAQIxidBhjoBhjdBRjqAhgnwgINECMYtAQY8AUY6gIYJ8ICDRAjGMkCGPAFGOoCGCfCAhcQABiABBiKBRiRAhjnBhjqAhi0AtgBAcICCxAAGIAEGIoFGJECwgIKEAAYgAQYigUYQ8ICCxAAGIAEGLEDGIMBmAMI8QUPC8rS9770G7oGBggBEAEYAZIHBTEuMS4yoAftFLIHBTAuMS4yuAeDBcIHAzItNMgHFoAIAQ&sclient=gws-wiz-serp,99,Phishing / Risky,2026-05-13 12:07:54
https://www.myntra.com/?utm_source=dms_google&utm_medium=dms_searchbrand_cpc&utm_campaign=dms_google_searchbrand_cpc_Search_Brand_Myntra_Geo_Brand_India_BM_TROAS_SOK_New&gad_source=1&gad_campaignid=23791016610&gbraid=0AAAAADoxBh4DE6VaCF1OBa3WElS5RngPn&gclid=CjwKCAjwn4vQBhBsEiwAq3hhNyDOfcetVjMYfbfu_N8ZoUmn-TXOF2oE3yiuw773FekRZYIfNLk_pxoCSAMQAvD_BwE,52,Phishing / Risky,2026-05-13 12:07:59
chrome://newtab/,14,Safe,2026-05-13 12:08:11
https://www.google.com/,52,Phishing / Risky,2026-05-13 12:11:18
https://www.google.com/?zx=1778654480230,52,Phishing / Risky,2026-05-13 12:11:20
chrome://newtab/,14,SAFE,2026-05-13 12:22:22
https://www.google.com/,10,SAFE,2026-05-13 12:22:28
https://www.google.com/?zx=1778655194863,10,SAFE,2026-05-13 12:23:14
chrome://extensions/?id=mloilabgjghfnhmdcgciiknlkoddkcgl,52,SUSPICIOUS,2026-05-13 12:23:21
chrome://newtab/,14,SAFE,2026-05-13 12:23:28
https://www.google.com/,10,SAFE,2026-05-13 12:23:43
https://www.google.com/?zx=1778655224918,10,SAFE,2026-05-13 12:23:44
chrome://newtab/,14,SAFE,2026-05-13 20:23:30
https://www.youtube.com/,52,SUSPICIOUS,2026-05-13 20:23:31
https://www.youtube.com/results?search_query=pragati+verma,52,SUSPICIOUS,2026-05-13 20:23:50
https://www.youtube.com/watch?v=azESO6r2kno,52,SUSPICIOUS,2026-05-13 20:23:55
chrome://newtab/,14,SAFE,2026-05-13 21:43:17
https://www.netflix.com/browse,10,SAFE,2026-05-13 21:43:20
chrome://newtab/,14,SAFE,2026-05-13 21:44:29
https://www.cineby.sc/,50,SUSPICIOUS,2026-05-13 21:44:31
